iter	Passed	Remaining
0	1	128
1	2	121
2	3	111
3	4	100
4	5	97
5	6	94
6	7	97
7	8	94
8	9	92
9	10	92
10	11	90
11	12	88
12	12	86
13	13	84
14	14	82
15	15	80
16	16	79
17	16	77
18	17	75
19	18	74
20	19	73
21	20	72
22	21	70
23	21	69
24	22	68
25	23	66
26	24	66
27	25	64
28	26	63
29	26	62
30	27	61
31	28	60
32	29	59
33	30	58
34	31	58
35	32	57
36	33	56
37	34	56
38	35	54
39	35	53
40	36	52
41	37	51
42	37	50
43	38	49
44	39	48
45	40	47
46	41	47
47	42	46
48	43	45
49	44	44
50	45	44
51	47	43
52	48	42
53	49	41
54	49	40
55	50	39
56	51	39
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	64	30
68	64	29
69	65	28
70	67	27
71	67	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	21
77	74	20
78	75	19
79	76	19
80	77	18
81	77	17
82	78	16
83	79	15
84	80	14
85	81	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	93	1
98	94	0
99	95	0
