iter	Passed	Remaining
0	139	138863
1	140	69863
2	141	46920
3	142	35504
4	143	28555
5	144	23925
6	145	20638
7	146	18213
8	148	16314
9	149	14760
10	150	13494
11	153	12614
12	154	11707
13	155	10934
14	156	10309
15	158	9720
16	158	9190
17	159	8715
18	160	8289
19	162	7969
20	163	7624
21	164	7309
22	165	7022
23	166	6757
24	167	6525
25	168	6311
26	169	6115
27	170	5924
28	171	5743
29	173	5604
30	174	5447
31	175	5297
32	175	5155
33	176	5028
34	178	4934
35	179	4816
36	180	4703
37	181	4596
38	182	4495
39	183	4408
40	184	4325
41	185	4241
42	186	4159
43	187	4083
44	189	4013
45	190	3948
46	191	3877
47	192	3809
48	192	3744
49	194	3690
50	195	3633
51	196	3575
52	196	3518
53	197	3464
54	198	3412
55	199	3369
56	200	3322
57	201	3274
58	202	3228
59	203	3184
60	204	3149
61	205	3116
62	207	3079
63	207	3039
64	208	3001
65	209	2964
66	210	2935
67	211	2903
68	212	2869
69	213	2836
70	214	2805
71	215	2773
72	216	2746
73	217	2721
74	218	2692
75	219	2667
76	220	2640
77	221	2615
78	222	2592
79	223	2569
80	224	2544
81	225	2520
82	225	2492
83	226	2468
84	227	2450
85	228	2433
86	229	2412
87	230	2393
88	231	2372
89	233	2359
90	234	2340
91	235	2320
92	235	2301
93	236	2282
94	237	2266
95	239	2257
96	240	2239
97	241	2221
98	242	2203
99	242	2186
100	245	2184
101	246	2169
102	247	2153
103	248	2137
104	248	2121
105	258	2180
106	260	2170
107	261	2163
108	263	2157
109	265	2149
110	266	2135
111	267	2121
112	270	2121
113	271	2107
114	272	2093
115	272	2079
116	273	2064
117	274	2054
118	276	2045
119	277	2031
120	277	2018
121	278	2004
122	279	1992
123	280	1984
124	281	1973
125	282	1961
126	283	1948
127	284	1936
128	285	1924
129	287	1924
130	288	1913
131	289	1903
132	290	1891
133	291	1880
134	292	1873
135	293	1864
136	294	1854
137	295	1843
138	295	1833
139	296	1823
140	298	1819
141	299	1808
142	300	1800
143	301	1790
144	302	1781
145	303	1778
146	305	1770
147	306	1761
148	306	1753
149	307	1745
150	309	1738
151	310	1731
152	311	1723
153	312	1715
154	313	1707
155	315	1705
156	316	1698
157	317	1689
158	317	1681
159	318	1673
160	319	1663
161	320	1660
162	321	1653
163	322	1645
164	323	1638
165	324	1631
